timestamp,latitude,longitude
1701862137.0090818,45.42350840009532,11.947963320623131
1701862137.9981508,45.42349762949998,11.947958242569563
1701862138.9982173,45.4234835850395,11.947942423803461
1701862139.9982784,45.42348182953752,11.947930867137536
1701862140.9983363,45.423470371833794,11.94792846715549
1701862141.9983912,45.423456173752456,11.947941629535173
1701862142.9984422,45.423440978125655,11.94797031137757
1701862143.998489,45.423425736019055,11.947981794995245
1701862144.998534,45.423501871749416,11.947909445505966
1701862145.9985757,45.42352031107026,11.947947293983681
1701862146.9986153,45.42352844666732,11.947970024358815
1701862147.9986515,45.423519490129024,11.947965827464962
1701862148.9986858,45.42351122472904,11.947962434430751
1701862149.9987183,45.423511828342924,11.947972789804808
1701862150.9987483,45.423512343374775,11.947983136692955
1701862151.9987764,45.423513226518445,11.947993255954628
1701862152.9988039,45.42369716193023,11.94775650608431
1701862153.9988282,45.4237741329197,11.947729648609302
1701862154.9988508,45.423795004868765,11.947718120399172
1701862155.9988732,45.42380510687972,11.947711599718499
1701862156.9988933,45.42383037307182,11.947695005302053
1701862157.9989128,45.423931130219714,11.947712007056667
1701862158.998931,45.42397077952058,11.947713763168586
1701862159.9989476,45.424039632994095,11.94766272511955
1701862160.9989626,45.42412238336471,11.947662848154167
1701862161.9989767,45.42400591397507,11.94758722503382
1701862162.9989924,45.42390650429368,11.947604582466198
1701862163.999004,45.42386359409193,11.94758582610418
1701862164.9990158,45.423832133351176,11.9475607348239
1701862165.999027,45.42383127366728,11.94760735191668
1701862166.9990375,45.423843095615915,11.947569052081105
1701862167.999048,45.423854316542425,11.9476435085692
1701862168.9990573,45.42385488961609,11.947660139848702
1701862169.9990659,45.423860231519214,11.94766088008826
1701862170.9990735,45.42385427851981,11.947659606000853
1701862171.9990814,45.42385631768987,11.947660490757269
1701862172.9990873,45.423866260492325,11.94767129635434
1701862173.999094,45.42386371586133,11.947749787105566
1701862174.9991002,45.42389778367356,11.947768785029554
1701862175.9991064,45.42393779945058,11.947787435623594
1701862176.9991117,45.4239512455404,11.9477885677664
1701862177.9991164,45.42395544498788,11.947792913118644
1701862178.9991207,45.42394492373166,11.947811758675085
1701862179.9991255,45.423942606532286,11.947814843647425
1701862180.9991302,45.42393939489781,11.947818798027072
1701862181.999134,45.42393789166071,11.947831171342566
1701862182.9991372,45.42393718145565,11.947840284838652
1701862183.9991403,45.42393343691792,11.94786140025429
1701862184.9991431,45.42393109620645,11.947874963613364
